Size	TimeToVerify
8	0.0017893981266688633
11	0.00152018853834459
30	0.013520336486923863
48	0.005346268207043201
68	0.0016844097550932345
77	0.001252389454341435
100	0.0020411898206163953
111	0.001822883432561701
128	0.0010967312992869558
151	0.002299314612275237
156	0.0006277861295046506
207	0.002558439761608631
213	0.0005910629992718463
245	0.000792186577003319
250	0.0007557385451310164
283	0.0024186164349109143
305	0.0017894498118153819
326	0.0007046486114288544
362	0.0007275212339032224
365	0.0006331822255274633
379	0.0006594916323681812
414	0.001275922868635271
416	0.0013063220711021157
417	0.0015911138974703276
419	0.0014207213075010927
421	0.0007296425479275363
423	0.0007822713651857176
428	0.0009694007726816031
429	0.0009843752934382511
430	0.0007691329175775701
431	0.000760188469519982
432	0.0009083506110664848
501	0.0008718734020953412
509	0.0009731829583228051
510	0.0005764627790117597
516	0.0006956412242009089
517	0.0006802415514325762
530	0.0008184693076393821
532	0.003118956592720999
539	0.0007526007565585049
540	0.00061577016657049
541	0.0006223958689016062
542	0.0007628827661901087
545	0.0006298285264235276
547	0.0007165695403839325
548	0.0006250084696949778
552	0.0007236370673546424
554	0.0005535429174249822
588	0.0005481426532451923
592	0.0006640365907362291
593	0.000638979576128624
595	0.0007655787301230264
596	0.0005866080730945081
597	0.0007619107519830023
598	0.00293053947128616
599	0.0005639416354519504
601	0.000595863048846905
602	0.0008101446645243184
603	0.0006932161904715158
609	0.0006325778427657548
612	0.001001993259349903
614	0.0005351530088411344
616	0.0006218106596619933
620	0.0008164644241333008
624	0.000581407046818233
625	0.0006927910384598311
626	0.0007300743689903846
627	0.0007461584531343901
635	0.0005480626246312281
646	0.0005326687872826637
647	0.001206506382335316
648	0.0010459706499860004
649	0.0016316650630710842
654	0.0007237454394360522
660	0.0007635496713064767
669	0.0009450312260981206
683	0.0006236396469436325
698	0.0006353613379951957
699	0.0007938780151047073
765	0.0006349987083381706
782	0.0006307038393887607
788	0.0006812785888885284
791	0.0006283513315907725
817	0.0006284747090373006
833	0.000553214466655171
852	0.0008628735175499549
968	0.0007483242274997951
1015	0.0020501797015850362
1099	0.0012430611190262374
1106	0.000710669930998262
1157	0.0023128952778561016
1181	0.0007505700304791644
1299	0.0006755632120412547
1544	0.0010944029667994358
1621	0.0009929400223952073
1631	0.00081413442438299
1795	0.0005756308148790907
1804	0.0007724445182960351
1824	0.0012627815033172394
1863	0.0005392394699416794
1896	0.0013973979683189126
1940	0.0009141368465823727
2215	0.0026818038700343843
2476	0.001131839685506754
2553	0.0010305651417978994
2555	0.0005680931198013412
2556	0.001491861743526859
2662	0.0006570565950620424
2726	0.0006118754406909009
2824	0.0005979304547076459
2968	0.0007523640052421943
3001	0.0019432581388033354
3116	0.0006994117390025746
3177	0.0008462025569035456
3312	0.0008198047851349091
3578	0.006053424381709599
3625	0.0011103908780594946
3661	0.0009725443966738828
3788	0.002105825430863387
3897	0.0018203950428462528
3914	0.0007685998103001734
4201	0.0019005990364182163
4267	0.001165631767753121
4369	0.0015114854265759876
4387	0.0015964708128175535
4423	0.0010717048511638507
4482	0.0016871065526575476
4701	0.0034557572611562024
4716	0.0011455112403922982
4734	0.0010803104280591844
4740	0.0012245444984702797
4751	0.0010823828357082981
4752	0.0011767986771110055
4755	0.0011522444811734285
4756	0.00123358773184823
4781	0.0012872936008693455
4796	0.0010512950537088033
4800	0.001266490329395641
4846	0.001053991017641721
4856	0.0012165541415447955
4867	0.0014936465483445388
4874	0.001302040540255033
4878	0.0010389756489466954
4907	0.0013163915047278772
4926	0.0010105488183615092
4927	0.0014345829303448016
4929	0.001024547990385469
4932	0.0013968210953932542
4933	0.001264738036202384
4934	0.0011389743198047984
4935	0.00117590544107077
4936	0.001164535542468091
4937	0.0013088104608175639
4938	0.001199242951986673
4942	0.001132026418939337
4944	0.001535376468738476
4951	0.0011023674811516608
4954	0.0011484481237985038
4965	0.0013159705208731698
4967	0.0010724817956244196
4968	0.0013032476385156592
4970	0.002598473242112807
4972	0.0011201138262982135
4976	0.0011566585594123893
4977	0.0011962568843281352
4979	0.0012623155033671773
4980	0.0010484748786979622
4996	0.0010424298299870022
5016	0.0008433673765275862
5041	0.005492268742381276
5043	0.0015414533480791978
5051	0.0011008636101142509
5379	0.0011174762165629781
5479	0.0010868727744042456
5480	0.0010914610816048576
5494	0.0012913800619698905
5501	0.0012726950478720498
5514	0.00130574103001948
5517	0.0011092532764781606
5530	0.0014115571975708008
5534	0.001374979952832202
5539	0.0012696931412169983
5544	0.0013102759848107825
5553	0.00121114387378826
5560	0.0011690146439558976
5571	0.0018158859306282096
5572	0.0010174546208414998
5580	0.001132394050384735
5589	0.0011249347166581588
5599	0.0012102318810416268
5966	0.0011446876125735836
6443	0.001461967721685663
7130	0.002344147308723076
7680	0.0016964965766960091
7733	0.00325363832753855
7832	0.001981185032771184
8024	0.0012375974988603925
8197	0.0009878223592584784
8326	0.0011281183549574204
8491	0.0012185657528084768
